Index,PPL
1,351.8383300220082
2,265.50627856090273
3,234.31084472145122
4,212.99672557218543
5,200.47522285908607
6,188.62474627343465
7,179.79725082371064
8,173.17075155871404
9,169.40708903231805
10,163.05803329413553
11,160.68999576869604
12,156.4969261424343
13,154.12164365076447
14,151.31814016736533
15,148.9900444335837
16,148.72015034849437
17,145.56160277673115
18,143.97687644028773
19,142.1203066124371
20,141.568299205846
21,139.74071044153212
22,139.73666926665243
23,138.72459826442181
24,137.70804900196765
25,135.89695217314303
26,135.31951984692273
27,136.52726457035823
28,134.22187167470634
29,133.4519917365734
30,133.1682946869576
31,133.00468808126735
32,132.34466847249638
33,131.51397766728232
34,131.94796504849012
35,131.07153596407767
36,130.72685761165732
37,129.9209683131134
38,131.92527405483764
39,130.20136636744226
40,129.60613153980873
41,129.41067869592482
42,129.6082551171452
43,129.05344985467448
44,128.89085012246912
45,129.3148636117195
46,128.85039175467466
47,128.49508301790488
48,127.7482738042097
49,128.62549759235043
50,128.06376405861025
51,127.89233890952086
52,123.33157326951942
