Index,PPL
1,332.83556742656265
2,263.5416951228749
3,226.279115677931
4,208.28561479100713
5,191.25940425191985
6,182.71270697566322
7,173.71917580811905
8,171.34509923192843
9,166.44412741959522
10,164.32556640939774
11,159.66827372767955
12,160.89547341394766
13,157.41438080347245
14,154.53028004895742
15,152.83374515729622
16,151.5641196281344
17,152.75348858178717
18,151.78753092951752
19,150.6714344597426
20,151.94353368286815
21,150.38501905573685
22,151.1363805285263
23,150.69975306644372
24,149.97940496611437
25,150.73318573870097
26,152.83260335103805
27,156.08887966716762
28,143.2367147425993
