Index,PPL
1,562.2099359082953
2,420.69888466147887
3,333.53840010083184
4,276.1006959088375
5,253.54642023308503
6,229.93252428692622
7,216.22424093942925
8,203.5004189586518
9,192.49876669195797
10,186.40731164603994
11,178.77930844887828
12,172.80991915786709
13,167.9082330509906
14,160.59499677695527
15,156.5461077326591
16,159.24062786184552
17,148.85650920074167
18,149.14737038177933
19,147.5902179179549
20,142.12401250825647
21,139.93881688252688
22,138.86178772364482
23,137.97236196539063
24,135.59127580211108
25,134.66486218435648
26,133.14862463582696
27,133.39372145299407
28,133.35852209409694
29,130.9205947513856
30,130.1501913733445
31,128.85725907383812
32,127.90599663197284
33,130.02074544802204
34,128.31282014414586
35,126.50158861409602
36,127.82530556110889
37,127.4934468688596
38,126.92012539919521
39,122.71975528666398
